"MSSubClass","MSZoning","LotArea","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","ExterQual","ExterCond","Foundation","BsmtQual","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","TotalBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","MoSold","YrSold","SaleCondition","SalePrice"
60,"RL",13005,"NWAmes","1Fam","2Story",7,7,1980,1980,"Gd","TA","CBlock","Gd","TA","Y","SBrkr",1153,1200,2353,4,4,"Ex",10,1,"Attchd",8,2009,"Normal",260000
60,"FV",9000,"Somerst","1Fam","2Story",8,5,2006,2006,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1088,871,1959,3,3,"Gd",8,1,"Attchd",12,2007,"Normal",270000
60,"RL",9900,"NoRidge","1Fam","2Story",7,5,1993,1993,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1372,1274,2646,4,4,"Gd",9,1,"Attchd",4,2009,"Normal",260000
80,"RL",14115,"NWAmes","1Fam","SLvl",7,5,1980,1980,"TA","TA","CBlock","Gd","TA","Y","SBrkr",1472,0,1472,3,3,"TA",6,2,"Attchd",6,2009,"Normal",187500
60,"RL",16259,"NridgHt","1Fam","2Story",9,5,2006,2006,"TA","TA","PConc","Ex","Ex","Y","SBrkr",1249,1347,2596,4,4,"Gd",9,0,"Attchd",9,2006,"Partial",342643
60,"RL",12099,"NridgHt","1Fam","2Story",8,5,2004,2004,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1136,1332,2468,4,4,"Gd",10,1,"BuiltIn",6,2007,"Normal",354000
60,"RL",10380,"SawyerW","1Fam","2Story",7,5,1986,1987,"Gd","TA","CBlock","TA","Ex","Y","SBrkr",1553,1177,2730,4,4,"Gd",8,1,"Attchd",8,2007,"Normal",301000
20,"RM",5820,"OldTown","1Fam","1Story",3,8,1955,2005,"TA","Gd","CBlock","TA","Ex","Y","SBrkr",1163,0,1163,2,3,"TA",6,0,"Attchd",7,2006,"Normal",126175
80,"RL",11275,"NAmes","1Fam","SLvl",7,7,1967,2007,"Gd","Gd","CBlock","Gd","Ex","Y","SBrkr",1898,1080,2978,3,5,"Gd",11,1,"BuiltIn",6,2010,"Normal",242000
45,"RM",5000,"IDOTRR","1Fam","1.5Unf",5,6,1941,1950,"TA","TA","CBlock","TA","Po","N","FuseF",803,0,803,1,2,"TA",5,0,"Detchd",12,2007,"Normal",87000
120,"RL",10846,"Veenker","TwnhsE","1Story",8,5,1993,1993,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1719,0,1719,4,1,"Gd",6,2,"Attchd",5,2008,"Normal",324000
20,"RL",11600,"NAmes","1Fam","1Story",6,5,1960,1960,"TA","TA","CBlock","TA","TA","Y","SBrkr",1383,0,1383,2,3,"TA",7,0,"Attchd",4,2006,"Normal",145250
75,"RL",11888,"BrkSide","1Fam","2.5Unf",6,6,1916,1994,"TA","TA","BrkTil","TA","Gd","N","FuseA",1445,689,2134,2,5,"Gd",10,0,"Detchd",7,2009,"Normal",214500
70,"RM",6402,"IDOTRR","1Fam","2Story",5,5,1920,1950,"TA","TA","PConc","TA","TA","N","SBrkr",596,596,1192,1,3,"TA",6,0,"Detchd",7,2009,"Normal",78000
90,"RL",10624,"NAmes","Duplex","1Story",5,4,1964,1964,"TA","TA","CBlock","TA","TA","Y","SBrkr",1728,0,1728,3,6,"TA",10,0,"Detchd",11,2007,"Normal",119000
20,"RL",8176,"NAmes","1Fam","1Story",5,6,1958,1992,"TA","TA","CBlock","TA","Fa","Y","SBrkr",1056,0,1056,2,3,"TA",6,0,"Attchd",8,2007,"Normal",139000
20,"RL",10655,"NridgHt","1Fam","1Story",8,5,2003,2004,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1629,0,1629,3,3,"Gd",7,1,"Attchd",10,2009,"Normal",284000
120,"RM",8198,"NridgHt","TwnhsE","1Story",7,5,2004,2004,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1358,0,1358,3,2,"Gd",6,1,"Attchd",7,2008,"Normal",207000
60,"RL",9042,"Gilbert","1Fam","2Story",6,5,1998,1998,"TA","TA","PConc","Gd","Gd","Y","SBrkr",943,695,1638,4,3,"TA",7,2,"Attchd",7,2008,"Normal",192000
190,"RL",164660,"Timber","2fmCon","1.5Fin",5,6,1965,1965,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1619,167,1786,4,3,"TA",7,2,"Attchd",8,2008,"Normal",228950
20,"RL",14157,"StoneBr","1Fam","1Story",9,5,2005,2006,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1922,0,1922,3,3,"Gd",8,1,"Attchd",7,2007,"Normal",377426
20,"RL",9135,"CollgCr","1Fam","1Story",7,5,2002,2003,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1536,0,1536,3,3,"Gd",7,0,"Attchd",12,2008,"Normal",214000
20,"RL",14145,"NWAmes","1Fam","1Story",7,7,1984,1998,"Gd","TA","CBlock","Gd","Ex","Y","SBrkr",1621,0,1621,3,3,"Gd",8,0,"Attchd",5,2006,"Normal",202500
20,"RL",12400,"NAmes","1Fam","1Story",6,7,1958,1998,"TA","TA","CBlock","TA","TA","Y","FuseA",1215,0,1215,1,3,"TA",6,0,"Attchd",6,2009,"Normal",155000
60,"RL",14191,"Timber","1Fam","2Story",8,5,2002,2002,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",993,915,1908,3,4,"Gd",9,0,"Attchd",4,2010,"Normal",202900
20,"RH",8400,"SawyerW","1Fam","1Story",4,4,1950,1950,"Fa","Fa","CBlock","TA","Gd","Y","SBrkr",841,0,841,1,2,"TA",4,0,"CarPort",9,2009,"Normal",82000
90,"RL",8544,"NAmes","Duplex","1Story",3,4,1949,1950,"TA","TA","Slab",NA,"Fa","N","FuseA",1040,0,1040,2,2,"TA",6,0,"Detchd",5,2006,"Normal",87500
120,"RL",8849,"NridgHt","TwnhsE","1Story",9,5,2005,2005,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",1684,0,1684,2,2,"Ex",6,1,"Attchd",7,2008,"Normal",266000
160,"RM",2592,"MeadowV","TwnhsE","2Story",5,3,1976,1976,"TA","TA","CBlock","Gd","TA","Y","SBrkr",536,576,1112,2,3,"TA",4,0,"Attchd",4,2010,"Normal",85000
50,"RL",6435,"BrkSide","1Fam","1.5Fin",6,5,1939,1950,"TA","TA","BrkTil","TA","Gd","Y","SBrkr",972,605,1577,1,3,"Fa",6,1,"Detchd",10,2006,"Normal",140200
20,"RL",12772,"NAmes","1Fam","1Story",6,8,1960,1998,"TA","Gd","CBlock","TA","TA","Y","SBrkr",958,0,958,1,2,"TA",5,0,"Attchd",4,2007,"Normal",151500
20,"RL",17600,"NAmes","1Fam","1Story",6,5,1960,1960,"TA","TA","CBlock","TA","Ex","Y","FuseA",1478,0,1478,3,3,"TA",6,2,"Attchd",12,2009,"Normal",157500
160,"RL",2448,"NridgHt","Twnhs","2Story",7,5,2003,2004,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",764,862,1626,4,2,"Gd",6,0,"BuiltIn",10,2008,"Normal",154000
60,"RL",20431,"NridgHt","1Fam","2Story",9,5,2005,2006,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",1848,880,2728,4,4,"Ex",10,2,"Attchd",4,2006,"Partial",437154
120,"RL",7820,"NridgHt","TwnhsE","1Story",9,5,2007,2007,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",1869,0,1869,2,2,"Ex",6,1,"Attchd",12,2007,"Partial",318061
120,"RL",5271,"ClearCr","1Fam","1Story",7,5,1986,1986,"TA","TA","PConc","Gd","Gd","Y","SBrkr",1453,0,1453,3,2,"Gd",6,1,"Attchd",12,2006,"Abnorml",190000
50,"RL",9084,"Edwards","1Fam","1.5Fin",5,6,1941,1950,"TA","TA","CBlock","TA","TA","N","SBrkr",616,495,1111,2,3,"TA",5,0,"Detchd",3,2008,"Normal",95000
30,"RM",8520,"OldTown","1Fam","1Story",6,8,1928,2003,"TA","Gd","BrkTil","TA","Gd","Y","SBrkr",720,0,720,1,2,"TA",5,0,"Detchd",5,2010,"Normal",105900
50,"RL",8400,"SWISU","1Fam","1.5Fin",6,5,1940,2000,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1192,403,1595,1,2,"TA",6,2,"Attchd",6,2006,"Normal",140000
20,"RL",11249,"CollgCr","1Fam","1Story",6,5,1995,1995,"Gd","Gd","PConc","Gd","Ex","Y","SBrkr",1200,0,1200,3,3,"Gd",6,0,"Attchd",8,2007,"Normal",177500
20,"RL",9248,"Gilbert","1Fam","1Story",6,6,1992,1992,"TA","TA","PConc","Gd","Gd","Y","SBrkr",1167,0,1167,3,3,"Gd",6,0,"Attchd",7,2009,"Normal",173000
120,"RM",4224,"MeadowV","TwnhsE","1Story",5,5,1976,1976,"TA","TA","PConc","Gd","TA","Y","SBrkr",1142,0,1142,3,3,"TA",6,1,"Attchd",8,2007,"Normal",134000
80,"RL",6930,"ClearCr","1Fam","SLvl",5,4,1958,1958,"TA","TA","CBlock","TA","Ex","Y","FuseF",1352,0,1352,2,3,"Gd",6,0,"BuiltIn",7,2006,"Abnorml",130000
60,"RL",12011,"NoRidge","1Fam","2Story",8,5,1998,1998,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1086,838,1924,4,3,"Gd",7,1,"Attchd",6,2006,"Normal",280000
85,"RL",7540,"Mitchel","1Fam","SFoyer",6,6,1978,1978,"TA","TA","CBlock","Gd","Ex","Y","SBrkr",912,0,912,2,2,"TA",5,1,"Attchd",6,2007,"Normal",156000
50,"RL",9144,"BrkSide","1Fam","1.5Fin",5,5,1940,1982,"TA","TA","CBlock","TA","Gd","Y","SBrkr",988,517,1505,2,3,"TA",8,0,"Detchd",7,2008,"Normal",145000
85,"RL",7301,"Edwards","1Fam","SFoyer",7,5,2003,2003,"Gd","TA","Slab",NA,"Ex","Y","SBrkr",495,1427,1922,3,4,"Gd",7,1,"BuiltIn",7,2009,"Normal",198500
160,"RM",1680,"BrDale","Twnhs","2Story",6,8,1972,2007,"TA","TA","CBlock","TA","Gd","Y","SBrkr",483,504,987,2,2,"Gd",5,0,"Detchd",5,2009,"Normal",118000
60,"RL",18800,"NWAmes","1Fam","2Story",6,5,1976,1976,"TA","TA","PConc","Gd","TA","Y","SBrkr",790,784,1574,4,3,"TA",6,1,"Attchd",7,2006,"Normal",190000
70,"RM",10690,"IDOTRR","1Fam","2Story",5,7,1920,1997,"TA","Gd","CBlock","TA","Gd","Y","FuseA",672,672,1344,1,3,"TA",6,0,"Detchd",7,2009,"Normal",147000
20,"RL",9500,"NAmes","1Fam","1Story",6,5,1963,1963,"TA","TA","CBlock","Gd","Gd","Y","SBrkr",1394,0,1394,3,3,"TA",6,2,"Attchd",7,2009,"Normal",159000
80,"RL",9150,"NAmes","1Fam","SLvl",6,5,1962,1962,"TA","TA","CBlock","Gd","Gd","Y","SBrkr",1431,0,1431,2,3,"TA",6,1,"Basment",12,2008,"Normal",165000
20,"RL",7800,"NAmes","1Fam","1Story",5,6,1954,1954,"TA","TA","PConc","TA","Gd","Y","SBrkr",1268,0,1268,1,2,"TA",7,1,"Attchd",3,2010,"Normal",132000
20,"RL",9830,"NAmes","1Fam","1Story",5,7,1959,2006,"TA","Gd","CBlock","TA","Ex","Y","SBrkr",1287,0,1287,2,3,"Gd",7,1,"Detchd",3,2010,"Normal",162000
60,"RL",8121,"Gilbert","1Fam","2Story",6,5,2000,2000,"TA","TA","PConc","Gd","Ex","Y","SBrkr",953,711,1664,3,3,"TA",7,1,"Attchd",1,2006,"Normal",172400
50,"RL",17120,"ClearCr","1Fam","1.5Fin",4,4,1959,1959,"TA","TA","CBlock",NA,"TA","Y","SBrkr",1120,468,1588,2,4,"TA",7,1,"Detchd",7,2008,"Normal",134432
120,"RL",7175,"SawyerW","TwnhsE","1Story",6,5,1984,1984,"TA","TA","CBlock","Gd","TA","Y","SBrkr",752,0,752,2,2,"TA",4,0,"Attchd",2,2010,"Normal",125000
20,"RL",10634,"NAmes","1Fam","1Story",5,6,1953,1953,"TA","TA","PConc","TA","TA","Y","SBrkr",1319,0,1319,2,3,"TA",5,0,"Attchd",11,2009,"Normal",123000
60,"RL",8200,"CollgCr","1Fam","2Story",7,5,2003,2004,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",847,1081,1928,3,4,"Gd",8,1,"BuiltIn",7,2007,"Normal",219500
30,"RL",10020,"Edwards","1Fam","1Story",1,1,1922,1950,"Fa","Fa","BrkTil","Fa","Gd","N","FuseA",904,0,904,2,1,"Fa",4,0,NA,3,2009,"Normal",61000
85,"RL",8846,"CollgCr","1Fam","SFoyer",5,5,1996,1996,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",914,0,914,1,2,"TA",5,0,"Detchd",7,2006,"Normal",148000
60,"FV",11143,"Somerst","1Fam","2Story",8,5,2004,2005,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1580,886,2466,3,4,"Gd",8,1,"Attchd",12,2007,"Normal",340000
20,"RL",11394,"StoneBr","1Fam","1Story",9,2,2010,2010,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1856,0,1856,3,1,"Ex",8,1,"Attchd",6,2010,"Partial",394432
60,"RL",8123,"Gilbert","1Fam","2Story",6,5,2000,2000,"TA","TA","PConc","Gd","Ex","Y","SBrkr",1007,793,1800,3,3,"TA",7,1,"Attchd",6,2009,"Normal",179000
50,"RL",5000,"SWISU","1Fam","1.5Fin",5,6,1924,1950,"TA","TA","BrkTil","TA","TA","Y","SBrkr",1026,665,1691,2,3,"Gd",6,1,"Detchd",5,2010,"Normal",127000
20,"FV",7200,"Somerst","1Fam","1Story",7,5,2006,2006,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1301,0,1301,3,2,"Gd",5,1,"Attchd",8,2006,"Partial",187750
60,"RL",9245,"CollgCr","1Fam","2Story",7,5,2006,2006,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",939,858,1797,3,3,"Gd",8,0,"Attchd",4,2007,"Normal",213500
45,"RH",9000,"SawyerW","1Fam","1.5Unf",6,3,1928,1950,"TA","TA","BrkTil","Fa","TA","N","FuseA",784,0,784,1,2,"TA",5,0,"Detchd",10,2009,"Normal",76000
60,"RL",53107,"ClearCr","1Fam","2Story",6,5,1992,1992,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1079,874,1953,4,3,"Gd",9,2,"Attchd",6,2007,"Normal",240000
120,"RL",3182,"Blmngtn","TwnhsE","1Story",8,5,2004,2005,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1269,0,1269,2,2,"Gd",6,1,"Attchd",4,2010,"Normal",192000
50,"RL",8410,"Edwards","1Fam","1.5Fin",5,3,1910,1996,"TA","Fa","PConc","TA","TA","Y","SBrkr",658,526,1184,1,5,"TA",8,0,NA,5,2006,"AdjLand",81000
80,"RL",7200,"Edwards","1Fam","SLvl",6,6,1976,1976,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1125,0,1125,2,3,"TA",6,1,"Detchd",10,2009,"Abnorml",125000
20,"RL",9382,"CollgCr","1Fam","1Story",7,5,1999,2000,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1479,0,1479,2,3,"Gd",6,0,"Attchd",7,2008,"Normal",191000
60,"RL",12474,"NridgHt","1Fam","2Story",10,5,2007,2008,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",1742,590,2332,4,3,"Ex",9,1,"BuiltIn",8,2008,"Partial",426000
50,"RL",8405,"Edwards","1Fam","1.5Fin",5,8,1900,1950,"TA","TA","BrkTil","TA","Ex","Y","SBrkr",961,406,1367,2,4,"TA",7,0,"Detchd",4,2008,"Normal",119000
60,"RL",12209,"Mitchel","1Fam","2Story",6,5,2001,2002,"TA","TA","PConc","Ex","Ex","Y","SBrkr",804,1157,1961,4,3,"Gd",7,1,"BuiltIn",6,2009,"Normal",215000
20,"RL",8339,"NAmes","1Fam","1Story",5,7,1959,1959,"TA","TA","Slab",NA,"TA","Y","SBrkr",882,0,882,1,3,"TA",5,0,"Attchd",7,2007,"Normal",106500
30,"RL",7446,"BrkSide","1Fam","1Story",4,5,1941,1950,"TA","TA","CBlock","TA","TA","Y","FuseA",788,0,788,1,2,"TA",4,2,NA,4,2006,"Abnorml",100000
50,"RL",10134,"OldTown","1Fam","1.5Fin",5,6,1940,1950,"TA","TA","CBlock","TA","Gd","Y","FuseA",735,299,1034,1,2,"TA",5,0,"Detchd",7,2007,"Normal",109000
20,"RL",9571,"Edwards","1Fam","1Story",5,6,1956,1956,"TA","TA","CBlock","TA","TA","Y","SBrkr",1144,0,1144,2,3,"TA",6,0,"Attchd",6,2010,"Normal",129000
20,"RL",7200,"CollgCr","1Fam","1Story",5,5,1972,1972,"TA","TA","CBlock","TA","TA","Y","SBrkr",894,0,894,1,2,"TA",6,0,"Detchd",9,2009,"Normal",123000
60,"RL",7590,"NAmes","1Fam","2Story",5,5,1962,1962,"TA","TA","CBlock","TA","TA","Y","SBrkr",876,936,1812,2,4,"TA",8,1,"Attchd",7,2007,"Normal",169500
30,"RM",8967,"IDOTRR","1Fam","1Story",5,2,1920,1950,"TA","Fa","BrkTil","Fa","Gd","Y","Mix",1077,0,1077,1,2,"TA",6,0,"Detchd",11,2007,"Abnorml",67000
60,"FV",8125,"Somerst","1Fam","2Story",7,5,2006,2007,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1112,438,1550,3,2,"Gd",7,0,"Attchd",10,2009,"Normal",241000
120,"RL",14963,"Veenker","TwnhsE","1Story",8,5,1996,1996,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1288,0,1288,3,1,"Ex",4,2,"Attchd",12,2008,"Normal",245500
20,"RL",8767,"CollgCr","1Fam","1Story",7,5,2005,2005,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1310,0,1310,2,3,"Gd",6,1,"Attchd",7,2006,"Partial",164990
30,"RL",10200,"Sawyer","1Fam","1Story",5,8,1940,1997,"TA","TA","PConc","TA","Ex","Y","SBrkr",672,0,672,1,2,"TA",4,0,"Detchd",8,2008,"Normal",108000
60,"RL",12090,"NoRidge","1Fam","2Story",8,5,1998,1998,"Gd","TA","PConc","Gd","Gd","Y","SBrkr",1165,1098,2263,3,4,"Gd",10,1,"BuiltIn",7,2006,"Abnorml",258000
60,"RL",10364,"Gilbert","1Fam","2Story",6,5,1995,1996,"TA","TA","PConc","Gd","Gd","Y","SBrkr",806,766,1572,3,3,"TA",7,1,"BuiltIn",5,2007,"Normal",168000
20,"RL",9991,"Sawyer","1Fam","1Story",4,4,1976,1993,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1620,0,1620,3,3,"TA",8,1,"Attchd",6,2009,"Normal",150000
50,"RL",10480,"SWISU","1Fam","1.5Fin",6,5,1936,1950,"TA","TA","BrkTil","TA","Ex","Y","FuseA",1166,0,1639,1,3,"TA",6,0,"Detchd",3,2008,"Normal",115000
70,"RL",15576,"Crawfor","1Fam","2Story",6,7,1915,1976,"TA","TA","BrkTil","Gd","Ex","Y","SBrkr",840,840,1680,2,4,"TA",8,0,"Attchd",3,2008,"Normal",177000
60,"RL",14154,"NridgHt","1Fam","2Story",7,5,2006,2006,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1071,1101,2172,3,3,"Gd",9,1,"Attchd",8,2007,"Partial",280000
60,"FV",10800,"Somerst","1Fam","2Story",8,5,2007,2008,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1050,1028,2078,4,3,"Ex",8,1,"Attchd",4,2008,"Partial",339750
20,"RL",9571,"Edwards","1Fam","1Story",5,3,1958,1958,"TA","Fa","CBlock","TA","TA","Y","FuseA",1276,0,1276,1,3,"TA",5,0,"Attchd",6,2009,"Abnorml",60000
190,"RL",34650,"Gilbert","2fmCon","1Story",5,5,1955,1955,"TA","TA","CBlock","TA","TA","N","SBrkr",1056,0,1056,2,3,"TA",5,0,"Attchd",1,2006,"Normal",145000
20,"FV",4403,"Somerst","1Fam","1Story",7,5,2009,2009,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",1478,0,1478,4,2,"Gd",7,1,"Attchd",6,2010,"Partial",222000
30,"RM",8960,"OldTown","1Fam","1Story",5,6,1927,1950,"TA","TA","CBlock","TA","Gd","Y","FuseA",1028,0,1028,1,2,"TA",5,1,"Detchd",3,2010,"Normal",115000
60,"RL",11228,"SawyerW","1Fam","2Story",7,5,1993,1993,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1080,1017,2097,4,3,"Gd",9,1,"Attchd",12,2008,"Normal",228000
20,"RL",8899,"Gilbert","1Fam","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1340,0,1340,2,3,"Gd",6,0,"Attchd",8,2007,"Partial",181134
60,"RL",7844,"Sawyer","1Fam","2Story",6,7,1978,1978,"TA","TA","CBlock","TA","TA","Y","SBrkr",672,728,1400,2,3,"TA",6,1,"Attchd",3,2006,"Normal",149500
70,"RL",22420,"Crawfor","1Fam","2Story",6,6,1918,1950,"TA","TA","BrkTil","Gd","TA","N","FuseA",1370,1254,2624,4,4,"TA",10,1,"Detchd",11,2007,"Normal",239000
50,"RL",8160,"Edwards","1Fam","1.5Fin",5,6,1940,1950,"TA","TA","BrkTil","TA","Fa","N","FuseF",756,378,1134,3,3,"TA",7,0,"Detchd",4,2007,"AdjLand",126000
20,"RL",8450,"NAmes","1Fam","1Story",5,6,1968,1968,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1056,0,1056,2,3,"TA",6,1,"Attchd",7,2010,"Normal",142000
90,"RM",7060,"Mitchel","Duplex","SFoyer",7,5,1997,1998,"TA","Gd","PConc","Gd","Ex","Y","SBrkr",1344,0,1344,4,2,"TA",8,0,"Attchd",11,2008,"Alloca",206300
20,"RL",16635,"NWAmes","1Fam","1Story",6,7,1977,2000,"Gd","TA","CBlock","Gd","Gd","Y","SBrkr",1602,0,1602,3,3,"Gd",8,1,"Attchd",6,2009,"Normal",215000
20,"RL",21750,"Mitchel","1Fam","1Story",5,5,1954,1954,"TA","TA","CBlock","TA","Ex","Y","FuseA",988,0,988,1,2,"TA",4,0,"Attchd",2,2008,"Normal",113000
60,"RL",9200,"NoRidge","1Fam","2Story",8,5,1998,1998,"Gd","TA","PConc","Gd","Gd","Y","SBrkr",1470,1160,2630,4,4,"Gd",8,1,"Attchd",6,2008,"Normal",315000
20,"RL",9000,"NAmes","1Fam","1Story",6,5,1956,1956,"TA","TA","CBlock","Gd","Gd","Y","FuseA",1196,0,1196,2,2,"TA",6,1,"Attchd",5,2008,"Normal",139000
60,"RM",3378,"OldTown","1Fam","2Story",7,8,1946,1992,"TA","Gd","CBlock","TA","Gd","Y","SBrkr",707,682,1389,2,3,"TA",6,2,"Detchd",9,2009,"Normal",135000
80,"RL",12800,"SawyerW","1Fam","SLvl",7,5,1989,1989,"Gd","TA","PConc","Gd","Gd","Y","SBrkr",1644,0,1644,4,2,"Gd",5,1,"Attchd",8,2009,"Normal",275000
20,"RL",8593,"NAmes","1Fam","1Story",4,6,1957,1957,"TA","TA","CBlock","TA","Ex","Y","SBrkr",907,0,907,1,3,"TA",5,0,"Detchd",7,2008,"Normal",109008
20,"RL",6762,"CollgCr","1Fam","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1208,0,1208,3,2,"Gd",6,0,"Attchd",9,2007,"Partial",195400
20,"RL",11457,"Timber","1Fam","1Story",6,5,1988,1988,"TA","TA","CBlock","Gd","TA","Y","SBrkr",1412,0,1412,3,3,"Gd",6,1,"Attchd",3,2009,"Normal",175000
160,"RM",1680,"BrDale","Twnhs","2Story",6,5,1971,1971,"TA","TA","CBlock","TA","TA","Y","SBrkr",483,504,987,2,2,"TA",4,0,"Detchd",7,2008,"Abnorml",85400
50,"RM",5586,"OldTown","1Fam","1.5Fin",6,7,1920,1998,"TA","TA","BrkTil","TA","Gd","Y","SBrkr",1088,110,1198,1,4,"TA",7,0,NA,9,2008,"Abnorml",79900
160,"RM",1920,"BrDale","TwnhsE","2Story",5,5,1971,1971,"TA","TA","CBlock","TA","Ex","Y","SBrkr",765,600,1365,3,2,"TA",6,0,"Detchd",8,2007,"Normal",122500
60,"RL",10839,"Gilbert","1Fam","2Story",6,5,1997,1998,"TA","TA","PConc","Gd","Ex","Y","SBrkr",926,678,1604,3,3,"TA",7,1,"Attchd",7,2008,"Normal",181000
180,"RM",1890,"MeadowV","Twnhs","SFoyer",4,7,1972,1972,"TA","Gd","CBlock","Gd","Gd","Y","SBrkr",630,0,630,2,1,"TA",3,0,NA,6,2008,"Normal",81000
60,"RL",10667,"CollgCr","1Fam","2Story",7,6,1996,1996,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",827,834,1661,4,3,"Gd",6,1,"Attchd",4,2009,"Normal",212000
50,"RM",4400,"OldTown","1Fam","1.5Fin",6,8,1920,1950,"TA","TA","BrkTil","Fa","TA","Y","FuseA",734,384,1118,1,2,"TA",6,0,"Detchd",10,2006,"Normal",116000
45,"RM",6000,"BrkSide","1Fam","1.5Unf",6,7,1926,2004,"Gd","TA","PConc","TA","Gd","Y","SBrkr",904,0,904,1,2,"TA",4,0,"Detchd",1,2009,"Normal",119000
30,"RL",4280,"Crawfor","1Fam","1Story",5,6,1913,2002,"TA","TA","PConc","TA","TA","N","SBrkr",694,0,694,1,2,"Gd",4,1,"Detchd",3,2007,"Normal",90350
50,"RL",12354,"Edwards","1Fam","1.5Fin",6,8,1920,2000,"TA","TA","BrkTil","TA","Gd","Y","SBrkr",684,512,1196,1,3,"Gd",7,0,"Detchd",8,2009,"Normal",110000
20,"RL",15431,"NridgHt","1Fam","1Story",10,5,2008,2008,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",2402,0,2402,3,2,"Ex",10,2,"Attchd",4,2009,"Normal",555000
90,"RL",12108,"Edwards","Duplex","1Story",4,4,1955,1955,"TA","TA","CBlock","TA","TA","N","FuseF",1440,0,1440,2,4,"Fa",8,0,NA,9,2008,"Normal",118000
50,"RM",6240,"BrkSide","1Fam","1.5Fin",5,7,1930,1992,"TA","TA","PConc","TA","TA","Y","SBrkr",1128,445,1573,2,3,"TA",8,1,"Detchd",6,2008,"Normal",162900
120,"RL",3922,"Blmngtn","TwnhsE","1Story",7,5,2006,2007,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1258,0,1258,2,2,"Gd",6,1,"Attchd",6,2007,"Partial",172500
60,"RL",8750,"CollgCr","1Fam","2Story",7,5,1994,1995,"Gd","Gd","PConc","Gd","Ex","Y","SBrkr",933,975,1908,4,4,"Gd",8,1,"Attchd",7,2008,"Normal",210000
20,"RL",9855,"Edwards","1Fam","1Story",6,5,1956,1956,"TA","TA","CBlock","TA","Fa","Y","SBrkr",1689,0,1689,1,3,"TA",7,1,"Attchd",11,2009,"Normal",127500
20,"RL",16492,"NAmes","1Fam","1Story",6,6,1966,2002,"Gd","TA","CBlock","TA","Ex","Y","SBrkr",1888,0,1888,3,2,"Gd",6,1,"Attchd",6,2010,"Normal",190000
60,"RL",11214,"Gilbert","1Fam","2Story",7,5,1998,1999,"Gd","TA","PConc","Gd","Gd","Y","SBrkr",956,930,1886,3,4,"Gd",10,1,"Attchd",7,2006,"Normal",199900
50,"RM",8600,"IDOTRR","1Fam","1.5Fin",6,6,1937,1950,"TA","TA","BrkTil","TA","TA","Y","SBrkr",780,596,1376,2,3,"TA",7,1,"Detchd",6,2006,"Normal",119500
50,"RM",6000,"OldTown","1Fam","1.5Fin",3,7,1948,2002,"TA","Gd","CBlock","TA","Ex","Y","SBrkr",679,504,1183,2,2,"TA",6,0,"Detchd",6,2007,"Normal",120000
